file,avg_snr_uv
jades-gds-w04-v4_prism-clear_1212_165.spec.fits,0.8459283730517139
jades-gds-w04-v4_prism-clear_1212_967.spec.fits,1.8407620392581674
jades-gds-w04-v4_prism-clear_1212_5732.spec.fits,1.6652235968536861
jades-gds-w04-v4_prism-clear_1212_6792.spec.fits,35.08259742370852
jades-gds-w04-v4_prism-clear_1212_1609.spec.fits,9.741706917753898
jades-gds-w04-v4_prism-clear_1212_5389.spec.fits,0.3484386232700663
jades-gds-w04-v4_prism-clear_1212_2700.spec.fits,2.767111183639806
jades-gds-w04-v4_prism-clear_1212_3568.spec.fits,4.330305633169869
jades-gds-w04-v4_prism-clear_1212_5106.spec.fits,1.9338195619291252
jades-gds-w04-v4_prism-clear_1212_5018.spec.fits,3.35437717879053
jades-gds-w04-v4_prism-clear_1212_2505.spec.fits,2.7323437621714586
jades-gds-w04-v4_prism-clear_1212_1791.spec.fits,6.721487524712273
jades-gds-w04-v4_prism-clear_1212_5237.spec.fits,5.921033119170648
jades-gds-w04-v4_prism-clear_1212_6135.spec.fits,0.7495231605277094
jades-gds-w04-v4_prism-clear_1212_5711.spec.fits,9.302192183531954
jades-gds-w04-v4_prism-clear_1212_2982.spec.fits,2.444945756683929
jades-gds-w04-v4_prism-clear_1212_3477.spec.fits,10.333532530572565
jades-gds-w04-v4_prism-clear_1212_678.spec.fits,14.7364453408276
jades-gds-w04-v4_prism-clear_1212_4590.spec.fits,9.89026265817836
jades-gds-w04-v4_prism-clear_1212_5718.spec.fits,0.06289535833644966
jades-gds-w04-v4_prism-clear_1212_2847.spec.fits,7.653824304683033
jades-gds-w04-v4_prism-clear_1212_606.spec.fits,5.734168706043856
jades-gds-w04-v4_prism-clear_1212_699.spec.fits,0.832962932922254
jades-gds-w04-v4_prism-clear_1212_5500.spec.fits,1.209937240908298
jades-gds-w04-v4_prism-clear_1212_3105.spec.fits,5.595110660147094
jades-gds-w04-v4_prism-clear_1212_681.spec.fits,7.285024937052816
jades-gds-w04-v4_prism-clear_1212_5360.spec.fits,2.227767725278691
jades-gds-w04-v4_prism-clear_1212_5357.spec.fits,3.3748044606748357
jades-gds-w04-v4_prism-clear_1212_3426.spec.fits,3.7595356726708946
jades-gds-w04-v4_prism-clear_1212_1021.spec.fits,2.6141319889732646
jades-gds-w04-v4_prism-clear_1212_2303.spec.fits,1.3587010023224142
jades-gds-w04-v4_prism-clear_1212_2439.spec.fits,6.954174598510178
jades-gds-w04-v4_prism-clear_1212_6609.spec.fits,10.203122068662406
jades-gds-w04-v4_prism-clear_1212_3062.spec.fits,13.160216248767346
jades-gds-w04-v4_prism-clear_1212_5491.spec.fits,2.481051135181956
jades-gds-w04-v4_prism-clear_1212_5677.spec.fits,8.648277634182145
jades-gds-w04-v4_prism-clear_1212_2004.spec.fits,3.1641723987844177
jades-gds-w04-v4_prism-clear_1212_2549.spec.fits,1.2051605376598145
jades-gds-w04-v4_prism-clear_1212_5341.spec.fits,5.945287397863054
jades-gds-w04-v4_prism-clear_1212_3138.spec.fits,3.839213233470638
jades-gds-w04-v4_prism-clear_1212_5497.spec.fits,2.888139124380969
jades-gds-w04-v4_prism-clear_1212_4891.spec.fits,6.899884319105568
jades-gds-w04-v4_prism-clear_1212_604.spec.fits,3.144931696468814
jades-gds-w04-v4_prism-clear_1212_2057.spec.fits,4.944080272572752
jades-gds-w04-v4_prism-clear_1212_6156.spec.fits,5.34666480462736
jades-gds-w04-v4_prism-clear_1212_1133.spec.fits,3.748325402168716
jades-gds-w04-v4_prism-clear_1212_1261.spec.fits,1.3421749954372346
jades-gds-w04-v4_prism-clear_1212_5056.spec.fits,3.194247335355262
jades-gds-w04-v4_prism-clear_1212_4663.spec.fits,8.284340348557402
jades-gds-w04-v4_prism-clear_1212_490.spec.fits,4.286754507233371
jades-gds-w04-v4_prism-clear_1212_2532.spec.fits,2.7385422553870686
jades-gds-w04-v4_prism-clear_1212_5447.spec.fits,6.592996574163269
jades-gds-w04-v4_prism-clear_1212_3366.spec.fits,3.2738166342006076
jades-gds-w04-v4_prism-clear_1212_1520.spec.fits,1.5194178283388349
jades-gds-w04-v4_prism-clear_1212_6319.spec.fits,1.0416812133958553
jades-gds-w04-v4_prism-clear_1212_1733.spec.fits,3.1234725829424868
jades-gds-w04-v4_prism-clear_1212_1068.spec.fits,1.4472193256544164
jades-gds-w04-v4_prism-clear_1212_366.spec.fits,1.6194790711819669
jades-gds-w04-v4_prism-clear_1212_2416.spec.fits,1.397335049412255
jades-gds-w04-v4_prism-clear_1212_985.spec.fits,4.786441487832701
jades-gds-w04-v4_prism-clear_1212_2610.spec.fits,1.0430071761478452
jades-gds-w04-v4_prism-clear_1212_2340.spec.fits,4.832986664015596
jades-gds-w04-v4_prism-clear_1212_233.spec.fits,1.482777520177125
jades-gds-w04-v4_prism-clear_1212_6174.spec.fits,2.028116398308569
jades-gds-w04-v4_prism-clear_1212_7082.spec.fits,5.126492209473516
jades-gds-w04-v4_prism-clear_1212_5753.spec.fits,1.1037480221227314
jades-gds-w04-v4_prism-clear_1212_5376.spec.fits,3.025232684779444
jades-gds-w04-v4_prism-clear_1212_1975.spec.fits,0.6798077657563468
jades-gds-w04-v4_prism-clear_1212_880.spec.fits,1.6779749528718861
jades-gds-w04-v4_prism-clear_1212_1932.spec.fits,1.4820554991267598
jades-gds-w04-v4_prism-clear_1212_6205.spec.fits,1.0442660192308664
jades-gds-w04-v4_prism-clear_1212_4977.spec.fits,1.6727057368061744
jades-gds-w04-v4_prism-clear_1212_5025.spec.fits,2.6008547603107317
jades-gds-w04-v4_prism-clear_1212_5559.spec.fits,0.7728850882440416
jades-gds-w04-v4_prism-clear_1212_3750.spec.fits,2.1894194244031473
jades-gds-w04-v4_prism-clear_1212_6211.spec.fits,1.770177485180274
jades-gds-w04-v4_prism-clear_1212_1792.spec.fits,0.5402092901816675
jades-gds-w04-v4_prism-clear_1212_1130.spec.fits,0.849416895503838
jades-gds-w04-v4_prism-clear_1212_438.spec.fits,1.0588034961037547
jades-gds-w04-v4_prism-clear_1212_1524.spec.fits,1.390344738100387
jades-gds-w04-v4_prism-clear_1212_6015.spec.fits,1.912075445689285
jades-gds-w04-v4_prism-clear_1212_1565.spec.fits,1.044280833525213
jades-gds-w04-v4_prism-clear_1212_2678.spec.fits,0.5419600379519154
jades-gds-w04-v4_prism-clear_1212_355.spec.fits,0.8559047903035115
jades-gds-w04-v4_prism-clear_1212_2818.spec.fits,0.2775726754418509
jades-gds-w07-v4_prism-clear_1212_2467.spec.fits,10.134787139654748
jades-gds-w07-v4_prism-clear_1212_129.spec.fits,1.5146888965104124
jades-gds-w07-v4_prism-clear_1212_2453.spec.fits,1.2952690401194846
jades-gds-w07-v4_prism-clear_1212_1783.spec.fits,4.13929554853353
jades-gds-w07-v4_prism-clear_1212_1760.spec.fits,0.9739049769833493
jades-gds-w07-v4_prism-clear_1212_2676.spec.fits,7.591889299192691
jades-gds-w07-v4_prism-clear_1212_1874.spec.fits,10.407326747397502
jades-gds-w07-v4_prism-clear_1212_4563.spec.fits,0.876346170876965
jades-gds-w07-v4_prism-clear_1212_4469.spec.fits,6.068980561409331
jades-gds-w07-v4_prism-clear_1212_1872.spec.fits,7.618168903341746
jades-gds-w07-v4_prism-clear_1212_4632.spec.fits,3.681685679249242
jades-gds-w07-v4_prism-clear_1212_4909.spec.fits,8.881186195849722
jades-gds-w07-v4_prism-clear_1212_2670.spec.fits,2.3976238659298033
jades-gds-w07-v4_prism-clear_1212_5403.spec.fits,4.716204378545338
jades-gds-w07-v4_prism-clear_1212_1565.spec.fits,10.618312462851849
jades-gds-w07-v4_prism-clear_1212_4809.spec.fits,0.7384847050987995
jades-gds-w07-v4_prism-clear_1212_1690.spec.fits,4.5126599349089105
jades-gds-w07-v4_prism-clear_1212_5373.spec.fits,0.33785605478017694
jades-gds-w07-v4_prism-clear_1212_5076.spec.fits,6.79023212810958
jades-gds-w07-v4_prism-clear_1212_1806.spec.fits,0.2735547887850844
jades-gds-w07-v4_prism-clear_1212_1834.spec.fits,8.864484639117252
jades-gds-w07-v4_prism-clear_1212_76.spec.fits,6.034576529792756
jades-gds-w07-v4_prism-clear_1212_5116.spec.fits,13.391274131403609
jades-gds-w07-v4_prism-clear_1212_1642.spec.fits,1.154105233413487
jades-gds-w07-v4_prism-clear_1212_5025.spec.fits,4.492405438808799
jades-gds-w07-v4_prism-clear_1212_5396.spec.fits,7.271681114206806
jades-gds-w07-v4_prism-clear_1212_4783.spec.fits,12.95310180898457
jades-gds-w07-v4_prism-clear_1212_1588.spec.fits,0.14549588966123045
